,п\п,Код,"Наименование профессий рабочих, должностей служащих",Квалификация
1574,68,12467,Изготовитель фильер,3 - 6
1575,69,12523,Изолировщик жил кабеля,3 - 5
1576,70,12535,Изолировщик проводов,3
1577,71,12599,Испытатель проводов и кабелей,2 - 3
1578,72,12873,Комплектовщик проводов,2
1579,73,12961,Контролер кабельных изделий,3 - 5
1580,74,13213,Крутильщик жгутов,2
1581,75,13343,Лакировщик проводов и кабелей,2 - 3
1582,76,14662,Монтер кабельного производства,3 - 6
1583,77,15485,Оператор автоматической линии по изготовлению изолированных жил,4 - 5
1584,78,15924,Оператор проволочного прокатного стана,3
1585,79,16233,Оплетчик проводов и кабелей,2 - 3
1586,80,16243,Опрессовщик кабелей и проводов пластикатами и резиной,2 - 6
1587,81,16245,Опрессовщик кабелей свинцом или алюминием,"4, 6"
1588,82,16354,Отжигальщик кабельных изделий,4
1589,83,17146,Прессовщик электротехнических изделий,3 - 4
1590,84,17365,Прокальщик порошка для кабеля,2 - 3
1591,85,17430,Пропитчик кабелей и проводов,1 - 5
1592,86,17453,Просевальщик сыпучих материалов,1 - 3
1593,87,17912,Резчик материалов кабельного производства,2 - 3
1594,88,18442,Скрутчик изделий кабельного производства,2 - 4
1595,89,18444,Скрутчик-изолировщик жил и кабеля,2 - 5
1596,90,18445,Скрутчик-изолировщик элементов кабелей связи,3 - 4
1597,91,18760,Стабилизировщик кабелей,4 - 5
1598,92,19029,Съемщик оболочек с кабельных изделий,1 - 2
1599,93,19115,Термообработчик проводов и кабелей,3
1600,94,19209,Трамбовщик изоляционного материала,3 - 4
1601,95,19742,"Экранировщик жил, проводов и кабелей",3
1602,96,19935,Электросушильщик кабелей,5
1603,97,19944,Эмалировщик проволоки,2 - 6
1604,98,11168,Бандажировщик,1 - 4
1605,99,12023,Заготовщик изоляционных деталей,1 - 4
1606,100,12520,Изолировщик,1 - 5
1607,101,12644,Калибровщик катушек электроприборов,1 - 4
1608,102,15025,Намотчик катушек для электроприборов и аппаратов,1 - 4
1609,103,15027,Намотчик катушек и секций электромашин,1 - 5
1610,104,15029,Намотчик катушек трансформаторов,1 - 6
1611,105,15047,Намотчик секций силовых конденсаторов,1 - 4
1612,106,15060,Намотчик электромагнитных сердечников,1 - 2
1613,107,15236,Обмотчик элементов электрических машин,1 - 6
1614,108,16501,Перемотчик,1 - 2
1615,109,17100,"Прессовщик секций, катушек и изоляционных деталей электрических машин и аппаратов",1 - 4
1616,110,17805,Растяжчик секций и катушек электрических машин,1 - 4
1617,111,18211,Сборщик обмоток трансформаторов,2 - 5
1618,112,18214,Сборщик-отдельщик катушек трансформаторов,2 - 5
1619,113,18481,Слесарь по выводам и обмоткам электрических машин,1 - 6
1620,114,10019,Автоклавщик-сушильщик аккумуляторных пластин в производстве свинцовых аккумуляторов,2 - 3
